
vendor,vendorVarietyName,normalizedName,species,productURL,notes
SeedSow,Pepper (Hot) - Anaheim Chili,Anaheim,annuum,,
SeedSow,Pepper (Hot) - Ancho Grande,Ancho Grande,annuum,,
SeedSow,Pepper (Hot) - Big Jim,Big Jim,annuum,,
SeedSow,Pepper (Hot) - Bird's Eye,Bird's Eye,frutescens,,
SeedSow,Pepper (Hot) - Cayenne Purple,Cayenne Purple,annuum,,
SeedSow,Pepper (Hot) - Cayenne Red,Cayenne,annuum,,
SeedSow,Pepper (Hot) - Cherry Red,Cherry Red,annuum,,
SeedSow,Pepper (Hot) - Devil's Tongue Yellow,Devil's Tongue Yellow,chinense,,
SeedSow,Pepper (Hot) - Firecracker,Firecracker,annuum,,
SeedSow,Pepper (Hot) - Fresno Chili,Fresno,annuum,,
SeedSow,Pepper (Hot) - Ghost Chili / Bhut Jolokia,Ghost Pepper,chinense,,
SeedSow,Pepper (Hot) - Habanero Chocolate,Habanero Chocolate,chinense,,
SeedSow,Pepper (Hot) - Habanero Lemon,Habanero Lemon,chinense,,
SeedSow,Pepper (Hot) - Habanero Orange,Habanero Orange,chinense,,
SeedSow,Pepper (Hot) - Habanero Red Caribbean,Habanero Red Caribbean,chinense,,
SeedSow,Pepper (Hot) - Habanero White,Habanero White,chinense,,
SeedSow,Pepper (Hot) - Holiday Marbles,Holiday Marbles,annuum,,
SeedSow,Pepper (Hot) - Hungarian Hot Wax,Hungarian Hot Wax,annuum,,
SeedSow,Pepper (Hot) - Jalapeno Early Green,Jalapeno,annuum,,Early Green variant
SeedSow,Pepper (Hot) - Jalapeno Yellow / Caloro,Jalapeno Yellow,annuum,,Yellow Caloro variant
SeedSow,Pepper (Hot) - Mushroom Red,Mushroom Red,baccatum,,
SeedSow,Pepper (Hot) - Mushroom Yellow,Mushroom Yellow,baccatum,,
SeedSow,Pepper (Hot) - NuMex Twilight,NuMex Twilight,annuum,,
SeedSow,Pepper (Hot) - Pasillo Bajio (Pasilla de Oaxaca),Pasilla Bajio,annuum,,
SeedSow,Pepper (Hot) - Pepperoncini,Pepperoncini,annuum,,
SeedSow,Pepper (Hot) - Poblano,Poblano,annuum,,
SeedSow,Pepper (Hot) - Pretty Purple,Pretty Purple,annuum,,
SeedSow,Pepper (Hot) - Purple Tiger,Purple Tiger,annuum,,
SeedSow,Pepper (Hot) - Santa Fe Grande,Santa Fe Grande,annuum,,
SeedSow,Pepper (Hot) - Scotch Bonnet Red,Scotch Bonnet Red,chinense,,
SeedSow,Pepper (Hot) - Scotch Bonnet Yellow,Scotch Bonnet Yellow,chinense,,
SeedSow,Pepper (Hot) - Serrano Tampiqueno,Serrano,annuum,,Tampiqueno variant
SeedSow,Pepper (Hot) - Tabasco,Tabasco,frutescens,,
SeedSow,Pepper (Hot) - Tepin,Tepin,annuum,,
SeedSow,Pepper (Hot) - Thai,Thai,frutescens,,
WestCoastSeeds,Jalapeno M,Jalapeno,annuum,,
WestCoastSeeds,Habanero,Habanero,chinense,,
WestCoastSeeds,Spicy Slice F1,Spicy Slice F1,annuum,,F1 hybrid
WestCoastSeeds,Scotch Bonnet,Scotch Bonnet,chinense,,
WestCoastSeeds,Ghost,Ghost Pepper,chinense,,
WestCoastSeeds,Carolina Reaper,Carolina Reaper,chinense,,
WestCoastSeeds,Arapaho F1,Arapaho F1,annuum,,F1 hybrid
WestCoastSeeds,Trinidad Moruga Scorpion,Trinidad Moruga Scorpion,chinense,,
WestCoastSeeds,Witch Stick F1,Witch Stick F1,annuum,,F1 hybrid
WestCoastSeeds,Hungarian Black Organic,Hungarian Black,annuum,,Organic
WestCoastSeeds,Anaheim,Anaheim,annuum,,
WestCoastSeeds,Hungarian Hot Wax,Hungarian Hot Wax,annuum,,
WestCoastSeeds,Black Magic F1 Organic,Black Magic F1,annuum,,Organic
WestCoastSeeds,Ancho,Poblano,annuum,,also called Ancho
WestCoastSeeds,California Wonder 300,California Wonder,annuum,,
WestCoastSeeds,King of the North,King of the North,annuum,,
WestCoastSeeds,Pepperoncini,Pepperoncini,annuum,,
WestCoastSeeds,Orange You Sweet,Orange You Sweet,annuum,,
WestCoastSeeds,Twingo F1,Twingo F1,annuum,,F1 hybrid
WestCoastSeeds,Purple Beauty,Purple Beauty,annuum,,
WestCoastSeeds,Oranos F1 Organic,Oranos F1,annuum,,Organic F1
WestCoastSeeds,Chocolate Beauty,Chocolate Beauty,annuum,,
WestCoastSeeds,Milena F1 Organic,Milena F1,annuum,,Organic F1
