
vendor,vendorVarietyName,normalizedName,type,productURL,notes
SeedSow,Agata,Agata,,,
SeedSow,Albertine,Albertine,,,
SeedSow,All Blue,All Blue,,,
SeedSow,All Red,All Red,,,
SeedSow,Austrian Crescent,Austrian Crescent,,,
SeedSow,Caribe,Caribe,,,
SeedSow,Cheshire,Cheshire,,,
SeedSow,Chieftain (mid),Chieftain,,,
SeedSow,Ciklamen,Ciklamen,,,
SeedSow,Defender,Defender,,,
SeedSow,Elfie,Elfie,,,
SeedSow,French Classic,French Classic,,,
SeedSow,German Butterball,German Butterball,,,
SeedSow,Huckleberry Gold,Huckleberry Gold,,,
SeedSow,Jelly,Jelly,,,
SeedSow,Jester,Jester,,,
SeedSow,Kennebec,Kennebec,,,
SeedSow,King Edward,King Edward,,,
SeedSow,Magic Molly,Magic Molly,,,
SeedSow,Malou,Malou,,,
SeedSow,Montana,Montana,,,
SeedSow,Noelle,Noelle,,,
SeedSow,Norland Dark Red,Norland Dark Red,,,
SeedSow,Peruvian Sunrise Gold,Peruvian Sunrise Gold,,,
SeedSow,Purple Majesty,Purple Majesty,,,
SeedSow,Purple Peruvian,Purple Peruvian,,,
SeedSow,Ramona,Ramona,,,
SeedSow,Red La Soda,Red La Soda,,,
SeedSow,Red Pontiac,Red Pontiac,,,
SeedSow,Red Thumb,Red Thumb,,,
SeedSow,Russet Burbank,Russet Burbank,,,
SeedSow,Russet Norkotah,Russet Norkotah,,,
SeedSow,Russet Pioneer,Russet Pioneer,,,
SeedSow,Russian Banana,Russian Banana,,,
SeedSow,Terra Rosa,Terra Rosa,,,
SeedSow,Vermillion Fingerling,Vermillion Fingerling,,,
SeedSow,Viking Purple,Viking Purple,,,
SeedSow,Violetta,Violetta,,,
SeedSow,Yellow Finn,Yellow Finn,,,
SeedSow,Yukon Gem,Yukon Gem,,,
SeedSow,Yukon Gold,Yukon Gold,,,
SeedSow,Zoe,Zoe,,,
WestCoastSeeds,Chieftain Organic,Chieftain,,,
WestCoastSeeds,French Fingerling,French Fingerling,,,
WestCoastSeeds,GemStar Russet,GemStar Russet,,,
WestCoastSeeds,Kennebec Organic,Kennebec,,,
WestCoastSeeds,La Ratte Fingerling,La Ratte Fingerling,,,
WestCoastSeeds,Potato Mix,Potato Mix,,,
WestCoastSeeds,Red Pontiac Organic,Red Pontiac,,,
WestCoastSeeds,Russian Blue,Russian Blue,,,
WestCoastSeeds,Sieglinde,Sieglinde,,,
WestCoastSeeds,Warba,Warba,,,
WestCoastSeeds,Yukon Gold Organic,Yukon Gold,,,
